conv_codetype,conv_foodcode,conv_food_descr,conv_method,conv_method_descr,conv_stdvol,conv_stdvol_descr,conv_size,conv_size_descr,conv_factor,conv_unit,conv_unit_descr,conv_nobs,conv_source,conv_source_descr,,,,source2 (Mourad)
1,118,Carrot,6,Size/Picture,,36.7,1,Small,,,,,,,,,,
1,118,Carrot,6,Size/Picture,,109.5,2,Medium,,,,,,,,,,
1,118,Carrot,6,Size/Picture,,216,3,Large,,,,,,,,,,
1,240,Apple,6,Size/Picture,,83,1,Small,,,,,,,,,,
1,240,Apple,6,Size/Picture,,150,3,Large,,,,,,,,,,
1,261,Guava,6,Size/Picture,,15,1,Small,,,,,,,,,,
1,261,Guava,6,Size/Picture,,236,3,Large,,,,,,,,,,
1,283,Orange,6,Size/Picture,,97.3,1,Small,,,,,,,,,,
1,283,Orange,6,Size/Picture,,147.7,3,Large,,,,,,,,,,
1,356,MAGUR,6,Size/Picture,,299,1,Small,,,,,,,,,,
1,356,MAGUR,6,Size/Picture,,453,2,Medium,,,,,,,,,,
1,356,MAGUR,6,Size/Picture,,1767,3,Large,,,,,,,,,,
1,377,ROHU,6,Size/Picture,,762,1,Small,,,,,,,,,,
1,377,ROHU,6,Size/Picture,,2000,2,Medium,,,,,,,,,,
1,377,ROHU,6,Size/Picture,,3762,3,Large,,,,,,,,,,
1,,"Fish, tilkiya",6,Size/Picture,,0,1,Small,,,,,,,,,,
1,,"Fish, tilkiya",6,Size/Picture,,0.1,2,Medium,,,,,,,,,,
1,,"Fish, tilkiya",6,Size/Picture,,0.2,3,Large,,,,,,,,,,
1,,"Fish, naini",6,Size/Picture,,0.6,1,Small,,,,,,,,,,
1,,"Fish, naini",6,Size/Picture,,1.3,3,Large,,,,,,,,,,
1,,"Fish, kamalkat",6,Size/Picture,,0.2,1,Small,,,,,,,,,,
1,,"Fish, kamalkat",6,Size/Picture,,0.9,2,Medium,,,,,,,,,,
1,,"Fish, kamalkat",6,Size/Picture,,2.1,3,Large,,,,,,,,,,
1,,"Fish, bikat",6,Size/Picture,,0.5,1,Small,,,,,,,,,,
1,,"Fish, bikat",6,Size/Picture,,1.4,2,Medium,,,,,,,,,,
1,,"Fish, bikat",6,Size/Picture,,2.8,3,Large,,,,,,,,,,
1,,"Fish, grass carp",6,Size/Picture,,0.1,1,Small,,,,,,,,,,
1,,"Fish, grass carp",6,Size/Picture,,0.2,3,Large,,,,,,,,,,
2,9001,"Rice-parboiled, handpounded",3,Volume of food,176,,,,,,,,,,,,,
2,9001,"Rice-parboiled, handpounded",4,Volume of water,0.7,,,,,,,,,,,,,
2,9001,"Rice-parboiled, handpounded",6,Size/Picture,,11.3,5,Big spoon,,,,,,,,,,
2,9001,"Rice-parboiled, handpounded",6,Size/Picture,,4.1,6,Small spoon,,,,,,,,,,
2,9002,Aloo band gobhi,3,Volume of food,222.4,,,,,,,,,,,,,
2,9002,Aloo band gobhi,4,Volume of water,0.9,,,,,,,,,,,,,
2,9002,Aloo band gobhi,6,Size/Picture,,14.2,5,Big spoon,,,,,,,,,,
2,9002,Aloo band gobhi,6,Size/Picture,,5.2,6,Small spoon,,,,,,,,,,
2,9003,Aloo baingan,3,Volume of food,313.4,,,,,,,,,,,,,
2,9003,Aloo baingan,4,Volume of water,1.3,,,,,,,,,,,,,
2,9003,Aloo baingan,6,Size/Picture,20,20,5,Big spoon,,,,,,,,,,
2,9003,Aloo baingan,6,Size/Picture,7.4,7.4,6,Small spoon,,,,,,,,,,
2,9005,Masur ki daal,3,Volume of food,195.2,,,,,,,,,,,,,
2,9005,Masur ki daal,4,Volume of water,0.8,,,,,,,,,,,,,
2,9005,Masur ki daal,6,Size/Picture,,12.5,5,Big spoon,,,,,,,,,,
2,9005,Masur ki daal,6,Size/Picture,,4.6,6,Small spoon,,,,,,,,,,
2,9006,Aloo ki bhujiya,3,Volume of food,253.5,,,,,,,,,,,,,
2,9006,Aloo ki bhujiya,4,Volume of water,1.1,,,,,,,,,,,,,
2,9006,Aloo ki bhujiya,6,Size/Picture,16.2,16.2,5,Big spoon,,,,,,,,,,
2,9006,Aloo ki bhujiya,6,Size/Picture,5.9,5.9,6,Small spoon,,,,,,,,,,
2,9007,Palak aloo,3,Volume of food,326.8,,,,,,,,,,,,,
2,9007,Palak aloo,4,Volume of water,1.4,,,,,,,,,,,,,
2,9007,Palak aloo,6,Size/Picture,,20.9,5,Big spoon,,,,,,,,,,
2,9007,Palak aloo,6,Size/Picture,,7.7,6,Small spoon,,,,,,,,,,
2,9009,Aloo phool gobhi,3,Volume of food,357.2,,,,,,,,,,,,,
2,9009,Aloo phool gobhi,4,Volume of water,1.5,,,,,,,,,,,,,
2,9009,Aloo phool gobhi,6,Size/Picture,,22.8,5,Big spoon,,,,,,,,,,
2,9009,Aloo phool gobhi,6,Size/Picture,,8.4,6,Small spoon,,,,,,,,,,
2,9010,Aloo sem,3,Volume of food,210.8,,,,,,,,,,,,,
2,9010,Aloo sem,4,Volume of water,0.9,,,,,,,,,,,,,
2,9010,Aloo sem,6,Size/Picture,,13.5,5,Big spoon,,,,,,,,,,
2,9010,Aloo sem,6,Size/Picture,,4.9,6,Small spoon,,,,,,,,,,
2,9011,Pumpkin,3,Volume of food,280.8,,,,,,,,,,,,,
2,9011,Pumpkin,4,Volume of water,1.2,,,,,,,,,,,,,
2,9011,Pumpkin,6,Size/Picture,,18,5,Big spoon,,,,,,,,,,
2,9011,Pumpkin,6,Size/Picture,,6.6,6,Small spoon,,,,,,,,,,
2,9012,Aloo ka chokha,3,Volume of food,262.3,,,,,,,,,,,,,
2,9012,Aloo ka chokha,4,Volume of water,1.1,,,,,,,,,,,,,
2,9012,Aloo ka chokha,6,Size/Picture,,16.77937141,5,Big spoon,,,,,,,,,,
2,9012,Aloo ka chokha,6,Size/Picture,,6.2,6,Small spoon,,,,,,,,,,
2,9013,Tomato chutney,3,Volume of food,291.2,,,,,,,,,,,,,
2,9013,Tomato chutney,4,Volume of water,1.2,,,,,,,,,,,,,
2,9013,Tomato chutney,6,Size/Picture,,18.6,5,Big spoon,,,,,,,,,,
2,9013,Tomato chutney,6,Size/Picture,,6.8,6,Small spoon,,,,,,,,,,
2,9017,"Fish curry, curry",4,Volume of water,1.1,,,,,,,,,,,,,
2,9019,Rice-raw-polished,3,Volume of food,154.6,,,,,,,,,,,,,
2,9019,Rice-raw-polished,4,Volume of water,0.7,,,,,,,,,,,,,
2,9019,Rice-raw-polished,6,Size/Picture,,9.9,5,Big spoon,,,,,,,,,,
2,9019,Rice-raw-polished,6,Size/Picture,,3.625751591,6,Small spoon,,,,,,,,,,
2,9021,Chane ki daal,3,Volume of food,195.2,,,,,,,,,,,,,
2,9021,Chane ki daal,4,Volume of water,0.8,,,,,,,,,,,,,
2,9021,Chane ki daal,6,Size/Picture,,12.5,5,Big spoon,,,,,,,,,,
2,9021,Chane ki daal,6,Size/Picture,,4.6,6,Small spoon,,,,,,,,,,
2,9022,Arhar ki daal,3,Volume of food,195.2,,,,,,,,,,,,,
2,9022,Arhar ki daal,4,Volume of water,0.8,,,,,,,,,,,,,
2,9022,Arhar ki daal,6,Size/Picture,,12.5,5,Big spoon,,,,,,,,,,
2,9022,Arhar ki daal,6,Size/Picture,,4.6,6,Small spoon,,,,,,,,,,
